english,romanized
A big wave swept the man off the boat.,chu gi yab lab gi mi di dru tho kha lay chak ba nu
A broken mirror brings bad luck.,melo tum tum gi kan bam enn.
A car was coming in this direction.,Gari chi na khatu wong wom dhoeyi
A chain is made up of many links.,cha thak dhee link laysha gee zo nu
A child who is a native speaker usually knows many things about his or her language that a non-native speaker who has been studying for years still does not know and perhaps will never know.,alo rig ju gi kha lab mi gi khorai yana morai khake di gi korlay leysha sheywi rigju ley kha malab mi paycha lo leysha lhab ru mashey yanchin shey ya mitsu wong
A conductor directs an orchestra.,conductor ghi orchetra direct bay wong
A crowd gathered at the scene.,mi maam dzom sa
"A cup of tea, please.",ja phrob chi nang wai
A dance will be held on Friday.,dance chi za friday lu chab ni mey
A doctor tried to remove the bullet from his back.,doctor gi kho gi jab lay bullet chi ten nu
A dog has a sharp sense of smell.,Ro chi ge drem tshu layshom bay smell bay tshu
A dog has four legs.,ru che lu kam zhe yoe
A field of grass can be quite beautiful.,Tsa gi sagoh dhi jachichi dhu
A fund was set up with a view to preserving our endangered planet.,Ngachey gi endangered planet preserve beni den lu teru zha nu
A gentleman wouldn't do such a thing.,phoja zangpo gi dhi zum me bay
"A girl came running, with her hair streaming in the wind.",bum chi nga baysa juk dhi wong dhay cha ra namkha phu dhi
"A good book is the best of friends, the same today and forever.","book leyshom dhi charo leyshom enn, dari da naba same en"
A holiday this summer is out of the question.,Summer gi chuti dhiben chodri yoe may
A journey of a thousand miles begins with a single step.,Tongthra chi gi lam di gom they gang gi go tsu go
A lot has changed since then.,halam che ya jurchey ya c nu sa
A lot of people who have up until now been spending money having a good time now need to be more careful with their money.,mi tshu teru dhato tshen teru layshom bey lak pen mathab mi tshu nalay pha teru layshom bey lak len thab gho dhu
A lot of young people your age are already working and have a family.,Choe nam loo den den bay me tshu laysha ra laayo thob bay nyen yang chap tsha nuu
A man appeared at the door.,bhus chi go gi thama dhu
A man must work.,la dhi bay ra bay go
"A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.",mi chi school na majon gari ley steal bey wong. dhi bew da thorim shey yen yoen gari lam ra aw chab wong
"A man with a watch knows what time it is, a man with two watches is never sure.","phoja watch chi yoe me gi time gamchi ena shey wong, phoja watch ni yoe me gi nam ya sure may wong."
A man's worth lies in what he is.,bus gi yoebab di kho ra ga em di en
A mouse went for a walk on the table.,Jitsi chi table na walk jonu
A piano is expensive.,piano dhi gong bom en
A policeman came up to me.,Police nga baysa wong dey
A red light was glowing in the dark.,ba-tay map chi ba dhay nadhung na lay
A soldier often has to confront danger.,soldier tsu threl threl danger confront bay go
A trip to Hawaii will cost you about 200 dollars.,Hawaii lu trip jowachin dollar 200 dhay che jowong
A trip to Mars may become possible in my lifetime.,nge mistay na tsa chi dhi mars na jow tsub hong
A woman was hanging the washing on the line.,"mo gola chu bay, dey dey"
A woman without a man is nothing.,mo lu pho mina mo ganiya men
A year has passed since he came here.,lo chi ya si kho na hay bay
Absolutely nothing is permanent in life.,metse tak pa ten pa mee
"According to the newspaper, it's going to rain today.",News na baen charp chab wong lo.
"According to TV news, there was a plane crash in India.","India na plane crash go nu lo, according to tv news"
Achilles was an ancient Greek hero.,Achilles dhi dangphu greek ghi pawo chi enn
"Actually, that's why I'm here.",ani bay ne dhi ghi nga na wong ye tay
"Add 5 and 2, and you get 7.",nga dha nyi dhom dha dhuen
Adjust the brakes.,brake adjust bay mae
"After her husband's death, she brought up the two children all by herself.",mo gi map shi zhim lay alo nye di mora gi ka thang dro drom en may ro
"After I graduated from college, I got a job with my father's company.",nga college tsa bey apa ghi company na la thob chi.
"Against all expectations, we became good friends.",ngachay nye charo en
"Ah, to be young again.","ah, lok dhi zhem."
Air is to man what water is to fish.,Luma megi denlu chu nya gi denlu
All children do not like apples.,Alu gara apple miga
All humans on Earth are descended from a common ancestor.,me gara me zhi chi lay thoen thoen en
All I want to do is finish what I started.,nga gho tshu me de ju dup bay bay ne
All is well that ends well.,gara layshum en
All my problems are over.,nga gi tab madaw tshu gara juduyi
All of the apples that fall are eaten by the pigs.,apple big jojo tshu phap ghi za wong
All of us like you very much.,nga chay gara gi che lu ga
All our teachers were young and loved teaching.,teacher tshu gara chungku bay pecha toen ni lu ga
All the boys are the same age.,bhus gara lo dren drey en
All the houses in this neighborhood look so much alike that I can't tell them apart.,Nga chay gi thakhor na di chim gara chor chip thombay nga gi ngo mi pa bay
All the people who were here have left.,na doe ni mi tshu gara joyi
"All things considered, he is a good teacher.",kho lobey leshu yoe.
All this has now changed.,ani geyra soso jo nu
All three were killed.,sum cha ra sey da nu
All we can do is hope.,nga chay gi bay thab zay ru raywa kayni ra may
All you do is complain!,Complain dhi ra bay dhew may sa choe
Allied forces were attacking from the west.,Allied force gi west naley attack badey
Almost everybody has already gone home.,almost gari chim na joni
Almost everything has been improved.,halam chi gara yargay jonu
"Although we don't have much money, I want to buy this painting.","ngachey amchinteru miru, nga ani painting dhi nyo ni"
Am I first?,nga first enna?
Am I on that list?,nga ya tshe yoe ga
America is ahead in space technology.,America di space technology na hema yoe
Americans have to spend hours figuring out their taxes.,Chilip tsu gantha gantha gowo may tax tapni den lu
An extremely terrible thing happened to him.,Kho lu namay samay drosisi neytang chi jungnu
An innocent man was arrested by mistake.,innocent bhus chi mistake bay arrest bay nu
And then what will happen?,dhoe lay ga chi baywong
Anybody can read it.,gaa gi ya lhab tsu
Anyone can do it.,Gaa gi yang bay tshu
Appearances are deceiving.,dong ghi shob chabi
Are there enough chairs?,kangthri lang ba ga
Are these the glasses you were looking for?,choe gi migshi tsey mi ani enna
Are these your things?,ani chala choe ghi ena
Are they collaborators?,khong tsu collaborators ena?
Are you a high school student?,choe high school student enna?
Are you all set for the trip?,cheng tshu gayra dradi enya trup gi denlu
Are you all set to leave?,choe jo ni ready enna?
Are you asking me on a date?,choe nga lu date na joni say lap chi ya?
Are you coming to the store with me?,Choe nga nyam store na wongni ya
Are you feeling under the weather?,choe sem magaw dray mena?
Are you going to break up with me if I get fat again?,Nga doru motey jowa chin choe nga da chikha breakup baywong ya
Are you going to buy a dictionary?,Choe dictionary nyo ni ya?
Are you going to school?,Choe school na jodo ya
Are you going to warn Ugyen?,choe gi ugyen lu warn bae wong ga
Are you honest?,choe thrang tang tang dhu
Are you in favor of this motion?,choe ani bay tub ya?
Are you in love with me?,choe nga lu dato ya ga ya?
Are you losing your mind?,choe chhay sob drey mena
Are you new here?,Choe sarb ena na?
Are you ready now?,dra dri ena choe ?
Are you saying that my life is in danger?,Choe baewa chin nge sog lu nyenkha dhu say ya?
Are you seeing anybody right now?,choe datoh ga chi kha mo
Are you still upset about what happened?,choe dato ya sem shi dhi yeo ya?
Are you sure you can do this?,chie bay tsub gush
Are you threatening me?,Dro bew enna
Are you willing to make a deal?,cheo goen ja zo ne dhang day ena
Aren't you a little young?,choe atsi chumku enbay manna
Aren't you dressed yet?,Gho la gen tshaye bo
Aren't you embarrassed?,Choe ngo mi tshai ya
Aren't you happy?,choe sem ma ga ya ?
Aren't you the one who's always saying we should spend more time together?,choe menbu atara chikha daygay labmi
"As far as I know, he is a reliable person.","nga ghi shey shep tsen, kho lu lo tey tsu"
"As is often the case with him, he came late.",ani mi dhi nam bay ru chhisu chira een
"As soon as the door opened, they ran away.",go chiw chi juk ya c
Ask anyone.,galu lab ru lab
Ask Gyeltshen.,Gyeltshen ask bay
Ask her when he will come back.,kho nam wong say mo lu dri ta
Ask me anything!,gachi lab go ngow chi lab wa ra sho
"At last, we reached our destination.","Ju lu, ngachey tshu rang gi sagoh na hoechi"
"At last, you've hit the nail on the head!",last na choe ra gutoh nail na dung yoe gush
"At our company, the retirement age is 60.",nga chey company na retirement sixty na en
Attack!,lug jin
Attack!,attack!
Autumn is my favorite season.,autumn de nge ga sho season enn
Awesome!,jigs
Basset hounds are gentle dogs.,Basset hounds rochi tshu layshom yoe.
Be calm.,calm bay doe
Be calm.,calm
Be calm.,calm bay doe may
Be careful what you wish for.,choe ra gachi moenlam tab ena shayp bay bay
Be careful with my luggage.,nga ghi chala layshom bey dak zin bey
Be content.,lab go mi dhi labsh
Be cool.,cool bay doe
Be fair.,Be fair.
Be fair.,Be fair.
Be fair.,be fair
Be fair.,fair bay
Be fair.,Be fair.
Be fair.,drang yam dang drang doen
Be kind.,laeshom bay
