english,romanized
watch the rear. i will watch the front.,zhukha ta nga ghi dongkha ta wong
they are doctors.,doctor dhu
he acted like a madman.,kho tsagey zum beydey
it is in the garage.,garage na yoe
i do not have medical training.,nga lu so yi training mi
"i did not feel very well, but i went to work anyway.",nga naru la na joyi
"when she heard that, she felt like crying.",mo gi ani gow chin mo ngu ni ra bay yi
kiss me.,kiss me
he is taller than any other boy in his class.,nga chey gi lobkhang na lay zhu ringsho ra kho enn
you need to be careful.,choe ripdrim dra
i am sure gyeltshen told you i was coming.,nga gey ten ten shay gyeltshen gey choe lu nga wong ci lab lab wong
we must decide.,nga chay thachay go bay
they asked a lot of questions about my past experience.,khong ghi nge past experience ghi korlay driwa halam dri dae
the clock has stopped.,clock stop ya si
did you do your homework by yourself?,choe ra ge ra baye ga la
tashi wants to buy a new car.,tashi gari sap chi ngo ni lo
see you again.,lok chey wong
can you give me a slice of bread?,bread slice chi nang may la.
chime is working on your car.,chime gi choe gi gari zo nu
traffic is a major urban problem.,traffic dhi dari naba gi doen lu problem chi may
this is ugyen's locker.,ani ugyen gi locker embay
this meat is chicken.,ani sha di jasha en
chime drank a glass of wine.,tim gi cham ga ju nu
i made a regrettable mistake.,bga gi nam ya jey matsub gi mistake chi bay yi
books such as these are too difficult for him.,kidhep dhi zum kho gi denlu lakha een
the quick brown fox jumps over the lazy dog.,setaa huhdom yamey roche gu chong nu
they were caught red-handed.,khong tshu res handed zuyee
i fell.,bob ri cc nga
i cannot see anything with my right eye.,nga gi right eye lae gani ya thong mitsub bae
the crocodile is a protected species.,crocodile di dagzin thap bay zha yoe mi semchen en
i went into the army.,nga army na joyi
do it quickly.,joba bay.
he licked his fingers.,kho kho ra gi zumo chey da dey
are you honest?,choe thrang tang tang dhu
i am going to buy some bread.,nga bread chi nyo go bay
i cannot read lips.,nga gi kha lhap mishay
i want you to make a decision.,nga lo chi toen tey zo go bay
go on.,jo da
i do not have an opinion either way.,nga lu len gani ya mi
i would like to drastically decrease the amount of time it takes me to clean the house.,nga chim clean bae ni gi time reduce bae go bay
i was so hungry that i ate it.,nga ngara ta tshib zai nga gi za no di gi
i will show you around the city.,nga choe throm zay bay ba gay
he has good reason to get very angry.,kho tsep zani ghi dhoenda yoe may
does anyone know you are here?,choe na yoe say ga ghi ra shay
dorji is not good at hiding his emotions.,dorji emotions hide bayni layshom mindu
we are in part responsible for it.,ngachey yang dhi na gyenkha ba gob enn
she is wrong.,mo midhen
they stopped doing that.,khong gi bayni ko zha ui
that is all.,amchi ra mey
i have to go to the toilet.,chabsa jogo bay
i need a bigger challenge.,nga lu donglen bom gho bay
i will call on you again.,nga lok call chab wong
i hope your business trip to france was successful.,choe ge france na tshongla ge trip dhi layshom ta c ga
the talisman he is wearing is supposed to ward off evil spirits.,kho ghi gen mi sungkay dhi ghi dhey dhi tshu dha tang wong
come quickly!,jo ba sho
how many cds do you have?,choe lu cd gamchi ra yoe
"to me, it is important.",nga gi doen lu ani kha chay sho chi inn
he wore a pullover sweater to keep from getting cold.,kho ma jang ni denlu gola gen ni
this is the most comfortable chair i have ever sat in.,ani zum kang thri dhoe to to na tsa chi ma dhey
why are you looking so sad?,chie sem shishil zum thomey ga chi bey yi
no way!,aney bay di mem wong sa
there is no air on the moon.,daww ghu lung ra mee
i met him quite unexpectedly.,"nga, ko dang hang to ma bey che chi"
i have not broken any laws.,nga gi thrim lay gaywai la mabay
i never drink tea with milk.,nga ngajay thung ra mathung.
we listened to music yesterday.,ngachey khatsa music nyenyi
i cannot tell you how to pronounce the word.,ani ga day bay lap na nga gi ya mi shay
three other soldiers were wounded.,magmi suum dhi ma ken thhen nu
it was a very difficult story to write.,sung di dri ni gi lakha tangyi
"he tried to give up smoking several times, but failed.","tamku mithung say halam try baeyi, tsaka chi ma tshue"
she speaks spanish well.,mo gee spanish lashom lab mai
